year,n_sectors,mean_ei,median_ei,mean_g_base,median_g_base,mean_g_out_network,median_g_out_network,mean_g_in_network,median_g_in_network,mean_out_strength,mean_in_strength,pagerank_hhi,out_strength_hhi,in_strength_hhi,corr_ei_out_strength,corr_ei_pagerank,corr_g_base_pagerank,corr_g_out_network_pagerank,corr_g_in_network_pagerank,corr_g_base_g_out_network,corr_g_base_g_in_network,total_out_embodied,out_embodied_hhi,total_in_embodied,in_embodied_hhi,mean_out_efficiency,median_out_efficiency,mean_in_efficiency,median_in_efficiency
1990,2113,0.014657423416586051,0.0004415874122674415,7.521450750812099,7.725134565972265,7.8065775602178356,7.931691763602541,6.4130609421677915,6.884284918784371,13292.638517243999,13292.638517243997,0.0007920825236426895,0.024373953306567536,0.009386877832044751,0.027615974542563246,-0.03204129937163388,0.23512977861243708,0.10848694956842767,0.0011776969548115657,0.4074557174453731,0.06096567896971382,17754387.81389788,0.021924234018784055,17851747.929323547,0.009994957089763732,1.4871050401472343,1.2643620720872275,-1.1500913598058575,1.1964292499964686
1991,2096,0.015239576952094035,0.0004361223499474182,7.563569575622025,7.737587735007443,7.93970806752025,7.995058348493183,5.921188055939722,6.220787135915304,13322.749947939561,13322.749947939561,0.000788820541031009,0.02355224201519873,0.009063812493911257,0.014827712268319831,-0.04031758972832193,0.25143450978466014,0.10965954246760669,0.06305424486763977,0.7869460574925322,0.26006509258797667,30394711.340487696,0.020377617078545397,30327989.699890696,0.007886710397192923,1.5945214171968314,1.2914793922569756,1.5272793213971076,1.3921375406819285
1992,2121,0.009431657069409594,0.00040514936373825603,7.636268424922719,7.811254757025557,8.017402985209298,8.069350604953245,5.613820482050356,5.838911652147924,16446.772941460804,16446.772941460804,0.0008267055972657426,0.0428225611683684,0.00929316248653801,0.018097350407157296,-0.03645702690539443,0.231988681496173,0.09716478598085346,0.16478834418278052,0.7252477573211219,0.5120647419475969,36917739.00760792,0.037191425493876766,36854734.55406895,0.00823721440337058,1.574522059689721,1.3066958593900553,0.8935464160249827,1.3795644311237059
1993,2102,0.008392586423662696,0.00041411795135580336,7.6117430269700135,7.789359722330232,7.996312489984571,8.034102426586529,5.982292510117147,6.397331181597282,13519.329092788732,13519.329092788732,0.0007729038954198599,0.02478470156978,0.009850590119315852,0.015949797941553486,-0.030695844427213577,0.2653295679727324,0.07802300659874478,0.07038405205517373,0.49158246920739457,0.22678407328055958,29460417.997430645,0.02136249636637994,29408405.925146826,0.008764035470524564,1.5246938910574241,1.2927474291498458,1.4127457158084846,1.3910965995767435
1994,2085,0.007082132843413754,0.00038842431519733894,7.657700818415848,7.853412217437424,8.023539304891552,8.065198529349562,6.692092025580433,6.6297598062436185,13661.010834566901,13661.010834566901,0.0007763830797859403,0.025576175703409386,0.00981105992359631,0.018635973505710137,-0.024549370767655374,0.27147632981724146,0.1186383944343142,-0.005440898733281479,0.7778862152683419,0.05836685038478431,26977671.12950477,0.022002170482650844,26943039.658402868,0.009083797288945487,1.5323591069482165,1.2900578401404994,1.0243465824379103,1.3356182697648893
1995,2106,0.006213097133355528,0.00036467676693257954,7.734088633851095,7.9164992311295315,8.104936138906494,8.167546921678618,5.9602994728003065,6.24284971846599,14340.883480246377,14340.883480246375,0.000776191756815071,0.02695140091010603,0.009382821419045943,0.01847701991425552,-0.026059197740924547,0.2608058770973834,0.12598114430666835,0.19731972263261335,0.8009060462823844,0.6180895264918623,33217421.46252845,0.022962934802619562,33157598.868440077,0.00809427499827396,1.5968907128477439,1.3036861556884292,1.6531130939334493,1.4235418882009712
1996,2128,0.005426202015676793,0.00035247673893596136,7.79634596365183,7.950526241438226,8.147783746807406,8.18983869373768,5.78243477724756,6.018361595788977,17096.725189478937,17096.725189478937,0.0007731529701711878,0.048569993747610216,0.009548389389680861,0.023191890655140233,-0.03933594374788834,0.2593324710378308,0.11630629405114924,0.11354278903087567,0.7655949182027617,0.29492049279480287,39454208.2957373,0.041300923639055125,39398222.006293155,0.008394391249568239,1.5904692572359813,1.3118668728052203,1.6071890269185356,1.4000592446445226
1997,2136,0.004216638131201864,0.0003603523544845006,7.776925025662747,7.928428507470854,8.126858036350303,8.1796815645783,6.089707658217697,6.3268227468995235,14313.183088859036,14313.183088859038,0.0007712266333176055,0.027516549837163493,0.009891764713950178,0.024176687334017573,-0.033726370919844484,0.2779679041733154,0.13096833639478472,0.20970264144617803,0.770672304228276,0.6009060064258813,33757172.72427746,0.023245478066179666,33705364.658905745,0.008475261990141248,1.6108635718045183,1.3143904601464875,1.7110024138938487,1.4272872206126173
1998,2141,0.004198609504481792,0.0003617030078373088,7.768518854185111,7.924687100441681,8.122525082911853,8.180078218687077,6.134485443785732,6.5103621651531585,13936.671880495529,13936.671880495529,0.0007914322773475844,0.02828377686218604,0.0104364675343518,0.019556589227581373,-0.028677164702042766,0.2640222248047884,0.12317981494058956,0.039691281951312746,0.7652108392359641,0.14110458517270932,31213878.573670924,0.023805731663377128,31162220.22865778,0.009123559901071268,1.5797575833746837,1.3142445160286251,1.514622664873966,1.3977323478016868
1999,2148,0.004134865962872772,0.0003564699643926069,7.768408147827765,7.93926061372362,8.134238778807095,8.176686292422895,6.95656968635094,6.747962966438083,14131.152488508664,14131.152488508666,0.0007975131270050085,0.027777724911583573,0.010263299429826544,0.02053450947537149,-0.028451193547022618,0.2650856818112182,0.11096938967082753,-0.006870052734158399,0.5961179019883517,0.06959336672314462,25143592.28532528,0.02368142773025926,25127477.23148711,0.009931051632900565,1.5276684037785797,1.312070010855738,-1.0542958566333265,1.2690421649223835
