ei_regime,z_bin,z_mean,delta_z_mean,ei_reduction_mean,n
Q3,"(0.164, 0.275]",0.20926268824935312,-0.046846451437547,-9.759399946431081e-07,1597
Q3,"(0.275, 1.154]",0.48644853238813934,-0.1128613903520262,1.1077366308066114e-06,1598
Q4 high EI,"(-0.445, -0.244]",-0.2951159004587636,0.02015595432610972,0.003765251666028414,1598
Q4 high EI,"(-0.244, -0.205]",-0.2224044748543365,0.015054895844607064,0.002064114265775548,1597
Q4 high EI,"(-0.205, -0.181]",-0.19274381843581712,0.015365940873528348,0.00045640185438701193,1598
Q4 high EI,"(-0.181, -0.159]",-0.17018044556416867,0.017003834999003466,9.241693668001388e-05,1597
Q4 high EI,"(-0.159, -0.136]",-0.1470806836735763,0.01629905277938273,3.318964010701081e-05,1597
Q4 high EI,"(-0.136, -0.112]",-0.12350295923704287,0.016756717741797215,1.4405297662720425e-05,1598
Q4 high EI,"(-0.112, -0.0982]",-0.10482546857123094,0.0163351009532947,0.009194402685603597,1597
Q4 high EI,"(-0.0982, -0.0851]",-0.09173192383439921,0.014259047383735417,0.00035146456976169486,1597
Q4 high EI,"(-0.0851, -0.07]",-0.07779110951487124,0.015094910942431998,0.00019635731917352203,1598
Q4 high EI,"(-0.07, -0.053]",-0.06185342633173019,0.014284816794444622,0.00014284981227756218,1597
Q4 high EI,"(-0.053, -0.034]",-0.04350060451697446,0.015357106383655046,0.0002984366650368833,1597
Q4 high EI,"(-0.034, -0.0133]",-0.023860593582734235,0.013498402913713736,0.0006601294901123304,1598
Q4 high EI,"(-0.0133, 0.0111]",-0.0012696296487085352,0.010152464892005513,0.00017116219571115088,1597
Q4 high EI,"(0.0111, 0.0372]",0.024303492702670064,0.004619277891588885,0.0003841367436017558,1597
Q4 high EI,"(0.0372, 0.0662]",0.051149128231370154,0.0009433914112436738,0.00013718029625718421,1598
Q4 high EI,"(0.0662, 0.102]",0.0831750566200695,-0.0043267309173795135,-1.0967266243225493e-05,1597
Q4 high EI,"(0.102, 0.161]",0.12884648843765364,-0.010475740465706799,0.0003473996309353889,1597
Q4 high EI,"(0.161, 0.278]",0.21014803324244063,-0.018233395988713975,0.000554133685655865,1598
Q4 high EI,"(0.278, 0.455]",0.3649265796661899,-0.017975868394203738,9.294340416298466e-05,1597
Q4 high EI,"(0.455, 1.146]",0.6931610734418772,-0.07055637309742169,0.0009348617553735941,1598
